"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"48",3265999.99979807,1853999.99992613,3267999.99979807,1851999.99992613,719447,3,48,-0.820386272246011,1.23164959393578
"49",3269999.99979807,1853999.99992613,3271999.99979807,1851999.99992613,723959,3,49,-1.42540742271291,1.19397460810123
"50",3295999.99979807,1841999.99992613,3297999.99979807,1839999.99992613,753293,4,50,-0.688134153577702,0.813899235199832
"51",3295999.99979807,1835999.99992613,3297999.99979807,1833999.99992613,753296,4,51,-1.0948009627419,0.83636430302933
"52",3297999.99979807,1841999.99992613,3299999.99979807,1839999.99992613,755549,4,52,-1.03342499670029,0.821439435904832
"53",3297999.99979807,1835999.99992613,3299999.99979807,1833999.99992613,755552,4,53,-1.91973405622531,0.750076717740278
"54",3299999.99979807,1829999.99992613,3301999.99979807,1827999.99992613,757811,4,54,-1.36372857783358,0.918990113162097
"55",3299999.99979807,1827999.99992613,3301999.99979807,1825999.99992613,757812,4,55,-1.34478461438805,0.812323502033831
"56",3299999.99979807,1823999.99992613,3301999.99979807,1821999.99992613,757814,4,56,-1.18309262751542,0.710762761390773
"57",3301999.99979807,1847999.99992613,3303999.99979807,1845999.99992613,760058,4,57,-1.91973405622531,0.740306723576221
"58",3303999.99979807,1835999.99992613,3305999.99979807,1833999.99992613,762320,4,58,-1.45377081564787,0.673832529958717
"59",3303999.99979807,1821999.99992613,3305999.99979807,1819999.99992613,762327,4,59,-1.794114672756,0.62313190411235
"60",3305999.99979807,1849999.99992613,3307999.99979807,1847999.99992613,764569,4,60,-1.66577243536191,0.5585163742294
"61",3305999.99979807,1837999.99992613,3307999.99979807,1835999.99992613,764575,4,61,-1.84503418694552,0.599284057787291
"62",3305999.99979807,1835999.99992613,3307999.99979807,1833999.99992613,764576,4,62,-0.592502077437578,0.713638405685697
"63",3305999.99979807,1823999.99992613,3307999.99979807,1821999.99992613,764582,4,63,-0.977320491534211,0.567336777654819
"64",3309999.99979807,1851999.99992613,3311999.99979807,1849999.99992613,769080,4,64,-1.22823039672964,0.522049602772002
"65",3309999.99979807,1841999.99992613,3311999.99979807,1839999.99992613,769085,4,65,0.862517476943775,0.333295244237306
"66",3311999.99979807,1851999.99992613,3313999.99979807,1849999.99992613,771336,4,66,-1.10416004378104,0.503319080552734
"67",3311999.99979807,1849999.99992613,3313999.99979807,1847999.99992613,771337,4,67,1.11485563808105,0.424586424727021
"68",3311999.99979807,1847999.99992613,3313999.99979807,1845999.99992613,771338,4,68,1.9727636102758,0.363183267336087
"69",3311999.99979807,1821999.99992613,3313999.99979807,1819999.99992613,771351,4,69,-1.79005891110955,0.498225686712992
"70",3315999.99979807,1831999.99992613,3317999.99979807,1829999.99992613,775858,4,70,-1.15759586911358,0.410842977003924
"71",3317999.99979807,1833999.99992613,3319999.99979807,1831999.99992613,778113,4,71,-0.949650704608175,0.393738985841336
